"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","7/414","115/9399",0.0608695652173913,1.38191556395715,0.884519805444044,0.243358384610328,0.841295907683652,0.776669020549377,"4128/2790/247/4129/3362/246/6570",7
NA,NA,"hsa04517","IgSF CAM signaling","16/414","299/9399",0.0535117056856187,1.21487082545684,0.81049660574787,0.245037643014656,0.841295907683652,0.776669020549377,"342035/56253/3742/201633/914/5335/57522/3932/940/25945/23114/3556/8829/64221/4897/26047",16
NA,NA,"hsa04082","Neuroactive ligand signaling","11/414","199/9399",0.0552763819095477,1.25493409074357,0.780224151452295,0.261717088709314,0.861301553348058,0.795137867338864,"2790/3274/5031/112/2570/6507/153/9127/6536/3362/6570",11
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","6/414","98/9399",0.0612244897959184,1.38997338065661,0.832994299175766,0.262830920697613,0.861301553348058,0.795137867338864,"5138/478/112/814/5581/3164",6
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","2/414","23/9399",0.0869565217391304,1.97416509136736,1.00402963504634,0.269089061588656,0.861301553348058,0.795137867338864,"3422/23590",2
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","2/414","23/9399",0.0869565217391304,1.97416509136736,1.00402963504634,0.269089061588656,0.861301553348058,0.795137867338864,"1511/1636",2
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","3/414","41/9399",0.0731707317073171,1.66118769883351,0.910718215702384,0.269591402979826,0.861301553348058,0.795137867338864,"4128/875/4129",3
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","10/414","180/9399",0.0555555555555556,1.26127214170692,0.759707301743268,0.270167645085689,0.861301553348058,0.795137867338864,"6347/7098/596/6732/356/4939/4940/56000/64135/3118",10
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","6/414","99/9399",0.0606060606060606,1.37593324549846,0.807134121165619,0.270376215775927,0.861301553348058,0.795137867338864,"3554/5335/112/5581/3556/41",6
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","5/414","80/9399",0.0625,1.41893115942029,0.807721887535833,0.276530456605206,0.865755435462473,0.799249609982389,"558/596/5335/5159/2263",5
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","7/414","120/9399",0.0583333333333333,1.32433574879227,0.7675270773685,0.277377955051084,0.865755435462473,0.799249609982389,"11213/596/6272/5335/814/356/4145",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","19/414","371/9399",0.0512129380053908,1.16268213602094,0.686261911893158,0.280259424798427,0.866001622627141,0.799476885477619,"117579/3274/5031/3001/1511/2570/222642/5618/1135/57105/53637/134864/5746/1910/153/9127/5617/3362/66004",19
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/414","101/9399",0.0594059405940594,1.3486870426173,0.756241620012753,0.285621224985783,0.873831272481258,0.806705075259482,"6347/596/5335/2335/5581/1282",6
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","3/414","43/9399",0.0697674418604651,1.58392315470172,0.823765630861066,0.293873350353448,0.884742641182181,0.816778251610871,"84649/8613/2169",3
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","8/414","143/9399",0.0559440559440559,1.27009222661397,0.69859790852089,0.294914213727394,0.884742641182181,0.816778251610871,"1991/959/940/1511/717/732/8348/3118",8
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","5/414","83/9399",0.0602409638554217,1.36764449100751,0.722123068766087,0.30240383986534,0.898488331907596,0.829468022302704,"388372/653082/29800/9560/3627",5
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","3/414","44/9399",0.0681818181818182,1.54792490118577,0.781959626476152,0.306070777037316,0.900722572424102,0.831530632352007,"940/356/3118",3
